,click_model
27791,3.5
27792,0
27793,
27794,0
27795,0
27796,
27797,0
27798,0
27799,0
27800,inf
27801,
27802,0
27803,0
27804,0
27805,0
27806,0
27807,0
27808,0.466666667
27809,
27810,3
27811,3.5
27812,0
27813,0
27814,0.25
27815,0
27816,0
27817,0
27818,0.2
27819,0.175
27820,0
27821,0
27822,0
27823,0
27824,0
27825,0
27826,0
27827,0.5
27828,0
27829,0
27830,0
27831,0.8
27832,0
27833,1.84
27834,
27835,0.25
27836,0.571428571
27837,0.083333333
27838,inf
27839,0.444444444
27840,inf
27841,0
27842,0
27843,0
27844,0.133333333
27845,1.090909091
27846,0.02
27847,
27848,0
27849,2
27850,0
27851,0
27852,0.083333333
27853,0.363636364
27854,1
27855,0
27856,0.153846154
27857,0
27858,
27859,0
27860,6
27861,0
27862,0.142857143
27863,0.111111111
27864,0
27865,5.333333333
27866,0
27867,0
27868,0
27869,inf
27870,0
27871,0
27872,0.333333333
27873,0
27874,0
27875,0
27876,2
27877,0.666666667
27878,0.111111111
27879,0
27880,0
27881,
27882,5
27883,4
27884,0.181818182
27885,inf
27886,0
27887,0.25
27888,0
27889,0
27890,0.125
27891,0
27892,0
27893,0.666666667
27894,0
27895,0
27896,0
27897,
27898,0
27899,0.75
27900,
27901,0.272727273
27902,0
27903,0
27904,0.666666667
27905,0.4
27906,0.25
27907,0.066666667
27908,0.045454545
27909,0
27910,0
27911,0
27912,0.019607843
27913,0
27914,0.5
27915,0.125
27916,0.2
27917,2.5
27918,2
27919,0
27920,
27921,0.222222222
27922,0
27923,0
27924,0
27925,0.333333333
27926,0.166666667
27927,0
27928,0
27929,0
27930,
27931,0.307692308
27932,0
27933,0.666666667
27934,0.071428571
27935,0
27936,0
27937,0.25
27938,1
27939,0
27940,1
27941,0
27942,0.095238095
27943,0.5
27944,
27945,0.185185185
27946,0
27947,0
27948,0
27949,0
27950,0
27951,0
27952,0
27953,0
27954,13
27955,inf
27956,0
27957,0.25
27958,0.111111111
27959,0
27960,1.333333333
27961,0
27962,0
27963,
27964,0.162790698
27965,0.666666667
27966,
27967,0
27968,0
27969,0
27970,0.25
27971,0
27972,0
27973,0
27974,0
27975,30.5
27976,
27977,
27978,0
27979,0
27980,0
27981,0
27982,
27983,0
27984,7
27985,0
27986,0
27987,0.21875
27988,0.6
27989,0
27990,0.166666667
27991,0
27992,0.181818182
27993,0
27994,0
27995,0
27996,0
27997,0
27998,
27999,0
28000,2.333333333
28001,0
28002,7
28003,0
28004,0
28005,0
28006,0
28007,0
28008,0
28009,0.071428571
28010,0
28011,0
28012,0.033333333
28013,1.285714286
28014,0.024390244
28015,0
28016,0.5
28017,1.6
28018,0
28019,
28020,0
28021,0.090909091
28022,0
28023,0
28024,0
28025,0
28026,0
28027,0
28028,0
28029,inf
28030,2.333333333
28031,inf
28032,1
28033,
28034,0.285714286
28035,0.25
28036,0
28037,0
28038,0
28039,0.333333333
28040,0
28041,5.333333333
28042,1.2
28043,0
28044,0
28045,0
28046,0
28047,0
28048,0.181818182
28049,0
28050,0
28051,0
28052,0.181818182
28053,0
28054,0.25
28055,0
28056,0
28057,0
28058,0
28059,0
28060,7
28061,0
28062,0
28063,0
28064,0
28065,0.8
28066,0
28067,0
28068,0
28069,inf
28070,0.045454545
28071,0
28072,2
28073,0
28074,0
28075,0
28076,0
28077,0.083333333
28078,0
28079,0
28080,4
28081,0.3
28082,0.055555556
28083,0
28084,0.125
28085,0
28086,0.708333333
28087,0
28088,0.017857143
28089,6.5
28090,0
28091,0
28092,0
28093,0
28094,0
28095,0.037037037
28096,inf
28097,0
28098,
28099,0.5
28100,4.2
28101,0.333333333
28102,0
28103,0
28104,0
28105,0
28106,0.111111111
28107,0.333333333
28108,0.666666667
28109,0
28110,inf
28111,0
28112,0
28113,0
28114,0.666666667
28115,1
28116,0
28117,0
28118,inf
28119,1
28120,0
28121,0
28122,0
28123,1
28124,
28125,0
28126,0.222222222
28127,
28128,inf
28129,0.5
28130,0
28131,0
28132,0
28133,
28134,0
28135,0
28136,0
28137,0
28138,1
28139,
28140,0
28141,0
28142,0
28143,0
28144,
28145,
28146,0
28147,0.285714286
28148,2.2
28149,0.111111111
28150,0
28151,0
28152,0
28153,0
28154,1.888888889
28155,0.2
28156,0
28157,0
28158,0
28159,0
28160,0.2
28161,1.5
28162,1.083333333
28163,1.6
28164,0
28165,0
28166,0.2
28167,0
28168,8.333333333
28169,0
28170,0
28171,0
28172,0
28173,
28174,0
28175,0
28176,0
28177,0.3
28178,0
28179,0.142857143
28180,0
28181,inf
28182,0
28183,0.875
28184,0
28185,0.352941176
28186,
28187,0
28188,0
28189,1.222222222
28190,
28191,0
28192,1.538461538
28193,0
28194,0
28195,0.533333333
28196,0
28197,0
28198,0
28199,0
28200,0
28201,0
28202,0
28203,0
28204,0
28205,0
28206,0
28207,0.8
28208,0.090909091
28209,
28210,2
28211,0
28212,0.230769231
28213,0
28214,0.375
28215,2
28216,0.666666667
28217,0
28218,0.3125
28219,0
28220,0
28221,0
28222,0
28223,0.285714286
28224,0.111111111
28225,0
28226,0.2
28227,0.1
28228,0.142857143
28229,0
28230,0
28231,0.111111111
28232,
28233,0
28234,
28235,0
28236,0
28237,0
28238,0
28239,0
28240,0.142857143
28241,0
28242,0
28243,inf
28244,0
28245,inf
28246,0
28247,2
28248,0
28249,
28250,0
28251,0
28252,0.083333333
28253,0.076923077
28254,0
28255,0.5
28256,0
28257,0
28258,0
28259,0
28260,1.578947368
28261,0
28262,0.333333333
28263,0
28264,0
28265,0
28266,0
28267,0
28268,0
28269,0.086956522
28270,0.142857143
28271,1.625
28272,0.214285714
28273,0.016393443
28274,0
28275,0.5
28276,0.333333333
28277,0
28278,0
28279,0
28280,0
28281,
28282,0
28283,0
28284,
28285,0
28286,0
28287,0.2
28288,0
28289,0
28290,
28291,0
28292,0.333333333
28293,1
28294,0.2
28295,0
28296,0
28297,0
28298,0.333333333
28299,0.305555556
28300,0
28301,0.125
28302,inf
28303,0
28304,0.222222222
28305,
28306,0
28307,0
28308,0.461538462
28309,0.111111111
28310,0
28311,0
28312,0
28313,0
28314,0
28315,0
28316,0
28317,inf
28318,0.076923077
28319,0
28320,0
28321,4.6
28322,
28323,0.2
28324,0.074074074
28325,0
28326,0
28327,0.5
28328,0
28329,0
28330,0
28331,0
28332,0
28333,0
28334,0
28335,0.055555556
28336,0
28337,0
28338,0
28339,0
28340,
28341,0
28342,0
28343,0
28344,0
28345,0
28346,0
28347,0.333333333
28348,inf
28349,
28350,inf
28351,0.238095238
28352,1
28353,0
28354,0.4
28355,0
28356,0
28357,0
28358,0
28359,0.333333333
28360,0
28361,0
28362,0
28363,0
28364,0
28365,0
28366,0
28367,0.166666667
28368,inf
28369,0.428571429
28370,0
28371,3.333333333
28372,
28373,0
28374,0
28375,0
28376,0
28377,0.153846154
28378,0
28379,0
28380,0
28381,1.75
28382,0
28383,0
28384,0.333333333
28385,0
28386,1.5
28387,0
28388,0
28389,0
28390,0.3
28391,0
28392,0
28393,4
28394,0
28395,0
28396,0.142857143
28397,0.16
28398,
28399,0.333333333
28400,0.02173913
28401,0
28402,0
28403,0
28404,0
28405,0
28406,1
28407,0
28408,0
28409,0
28410,0
28411,0
28412,6
28413,
28414,
28415,0
28416,0
28417,0
28418,0.5
28419,0
28420,10
28421,0.5
28422,0
28423,0
28424,0
28425,4
28426,0
28427,1
28428,0
28429,1
28430,0
28431,0
28432,
28433,0.263157895
28434,0
28435,0.454545455
28436,inf
28437,0
28438,0.8
28439,1
28440,0
28441,0
28442,0.7
28443,inf
28444,0
28445,0.333333333
28446,1.571428571
28447,
28448,0.25
28449,0.071428571
28450,0
28451,0
28452,0
28453,0
28454,
28455,0
28456,2.5
28457,1
28458,0
28459,0
28460,0.25
28461,0
28462,0
28463,0
28464,0
28465,0
28466,0.162162162
28467,0.058823529
28468,0
28469,0
28470,0
28471,0
28472,
28473,1.333333333
28474,0
28475,0
28476,0.083333333
28477,0.583333333
28478,0
28479,0
28480,
28481,0
28482,0
28483,0
28484,
28485,0.25
28486,0
28487,0
28488,0
28489,0
28490,0
28491,0
28492,0
28493,0
28494,0
28495,1
28496,0
28497,0
28498,0
28499,0
28500,0
28501,0
28502,0.5
28503,0.142857143
28504,0
28505,0
28506,0.25
28507,0
28508,0
28509,0
28510,0
28511,0.625
28512,0
28513,0.954545455
28514,0.5
28515,
28516,
28517,
28518,1
28519,0
28520,0.15
28521,0.666666667
28522,0.3
28523,0
28524,0.75
28525,0
28526,0
28527,0
28528,
28529,0
28530,0
28531,0.5
28532,0
28533,0
28534,0
28535,0
28536,inf
28537,0
28538,0
28539,0
28540,inf
28541,0
28542,0
28543,0
28544,inf
28545,0
28546,0
28547,inf
28548,
28549,0
28550,
28551,0
28552,0
28553,0.2
28554,0
28555,
28556,0.166666667
28557,0.066666667
28558,0
28559,inf
28560,0
28561,0
28562,0
28563,0
28564,0
28565,12
28566,0
28567,0
28568,0
28569,0
28570,0
28571,0.333333333
28572,1.125
28573,0
28574,0.375
28575,
28576,1
28577,0.375
28578,0.066666667
28579,0.166666667
28580,inf
28581,0
28582,0
28583,0
28584,1
28585,inf
28586,0
28587,0
28588,0
28589,0
28590,0
28591,0
28592,0
28593,1.285714286
28594,0
28595,0
28596,0
28597,0.285714286
28598,0
28599,0.076923077
28600,0
28601,0.075
28602,0.25
28603,0
28604,0.055555556
28605,2
28606,0
28607,0.086956522
28608,1.25
28609,0
28610,0.8
28611,0.215384615
28612,0
28613,0
28614,0
28615,
28616,
28617,0
28618,0.4
28619,0
28620,0
28621,0
28622,0
28623,
28624,0
28625,0
28626,0.333333333
28627,0.428571429
28628,
28629,0
28630,
28631,0
28632,0
28633,0
28634,0
28635,0
28636,0.833333333
28637,0
28638,
28639,0.588235294
28640,0
28641,0
28642,0
28643,0
28644,0
28645,inf
28646,0.071428571
28647,
28648,0.333333333
28649,
28650,0
28651,0
28652,0.0625
28653,0
28654,0
28655,0
28656,6.75
28657,0
28658,0
28659,
28660,0
28661,0
28662,0.25
28663,1
28664,0
28665,0.333333333
28666,0.666666667
28667,
28668,0
28669,0
28670,2.769230769
28671,0
28672,0
28673,0
28674,0
28675,0.714285714
28676,0
28677,0
28678,0
28679,
28680,0
28681,0
28682,0
28683,0.041666667
28684,
28685,0.125
28686,0.166666667
28687,0
28688,0
28689,
28690,0
28691,5
28692,0
28693,0.75
28694,
28695,0
28696,
28697,0
28698,1
28699,0
28700,0
28701,0
28702,0
28703,0
28704,0.133333333
28705,0.4
28706,5
28707,
28708,inf
28709,1.4
28710,0
28711,0
28712,0
28713,0
28714,inf
28715,0
28716,0.333333333
28717,0
28718,0
28719,0.142857143
28720,0
28721,0
28722,0
28723,0
28724,0.375
28725,inf
28726,0
28727,0
28728,3.5
28729,0
28730,0.125
28731,3
28732,0
28733,
28734,0
28735,0
28736,0
28737,0
28738,0
28739,0
28740,0.047619048
28741,0
28742,0
28743,0
28744,0
28745,0.333333333
28746,0.625
28747,1
28748,0.4
28749,0.032258065
28750,4.5
28751,0
28752,0
28753,0.0625
28754,
28755,0
28756,
28757,inf
28758,inf
28759,0
28760,0
28761,3
28762,1.75
28763,0
28764,
28765,0
28766,0
28767,0
28768,
28769,0
28770,0
28771,0
28772,0.666666667
28773,
28774,22
28775,0
28776,0
28777,0
28778,0
28779,0
28780,1
28781,0
28782,0
28783,0.333333333
28784,0.5
28785,0
28786,0.047619048
28787,0
28788,
28789,0
28790,
28791,0
28792,0
28793,0
28794,0.125
28795,0
28796,0.722222222
28797,0
28798,inf
28799,0
28800,inf
28801,0
28802,2.2
28803,0
28804,0.166666667
28805,0
28806,0
28807,0.046511628
28808,0
28809,0
28810,9
28811,11
28812,0.25
28813,0
28814,0
28815,
28816,inf
28817,0.142857143
28818,0.076923077
28819,7
28820,0
28821,0
28822,0
28823,3.7
28824,
28825,0
28826,0
28827,0
28828,
28829,0
28830,0
28831,0.0625
28832,0
28833,1
28834,0
28835,0
28836,0.142857143
28837,inf
28838,0
28839,0
28840,0
28841,0
28842,inf
28843,
28844,
28845,0
28846,0
28847,0
28848,0
28849,0
28850,0.157894737
28851,0
28852,0
28853,2
28854,0
28855,0
28856,1
28857,0
28858,0
28859,0
28860,0.166666667
28861,1
28862,0
28863,
28864,0
28865,
28866,0
28867,0
28868,0
28869,0.2
28870,0.6
28871,0.090909091
28872,0.142857143
28873,0
28874,10
28875,0
28876,0
28877,0
28878,0
28879,0
28880,0
28881,0
28882,0
28883,
28884,0.142857143
28885,0
28886,0
28887,0.75
28888,0
28889,
28890,0
28891,0.5
28892,0.285714286
28893,0
28894,0.3
28895,11
28896,0
28897,0.5
28898,
28899,0
28900,0.166666667
28901,0.068965517
28902,0.666666667
28903,0.75
28904,0
28905,0
28906,0.5
28907,1.333333333
28908,0
28909,
28910,0
28911,8
28912,0
28913,0
28914,inf
28915,0.5
28916,0.777777778
28917,1.25
28918,0
28919,inf
28920,0
28921,0
28922,0
28923,0
28924,
28925,0
28926,0
28927,
28928,0
28929,0.083333333
28930,0.071428571
28931,0.1
28932,
28933,0
28934,0.034482759
28935,0
28936,0
28937,
28938,0.714285714
28939,0.6
28940,
28941,0.166666667
28942,0
28943,0
28944,7
28945,0
28946,0.333333333
28947,0.047619048
28948,0.2
28949,0
28950,0.041666667
28951,inf
28952,0
28953,0.333333333
28954,0
28955,1.333333333
28956,0
28957,0
28958,0
28959,
28960,0.052631579
28961,0
28962,0
28963,inf
28964,0
28965,0
28966,0
28967,11.66666667
28968,0.166666667
28969,0.363636364
28970,2
28971,0.333333333
28972,0
28973,
28974,0
28975,0
28976,0
28977,0
28978,
28979,1.6
28980,0.545454545
28981,
28982,0
28983,3
28984,0
28985,0.384615385
28986,0
28987,3
28988,0.388888889
28989,0
28990,
28991,0
28992,0
28993,0
28994,0.088235294
28995,0.25
28996,0
28997,0.571428571
28998,0
28999,0
29000,0
29001,0
29002,8.5
29003,0
29004,0.068965517
29005,0
29006,0
29007,0
29008,0
29009,0.5
29010,0
29011,0
29012,inf
29013,0
29014,
29015,0.055555556
29016,0
29017,0.423076923
29018,0
29019,0.375
29020,0.105263158
29021,
29022,0
29023,0
29024,0.666666667
29025,0
29026,0.25
29027,0
29028,0
29029,5
29030,0.157894737
29031,0
29032,0
29033,0
29034,1.5
29035,0.5
29036,0
29037,inf
29038,0
29039,
29040,1.5
29041,8
29042,
29043,0
29044,0
29045,0
29046,0
29047,0.142857143
29048,0.307692308
29049,0
29050,inf
29051,0
29052,0
29053,0
29054,0
29055,0
29056,0
29057,0.073170732
29058,
29059,0
29060,0
29061,0.666666667
29062,0.2
29063,0
29064,0.25
29065,0
29066,
29067,0
29068,0
29069,
29070,0.833333333
29071,0.235294118
29072,inf
29073,0.666666667
29074,0
29075,0.038461538
29076,0
29077,0
29078,0
29079,0
29080,0
29081,0
29082,0.055555556
29083,0
29084,0
29085,0
29086,7
29087,0.083333333
29088,0.5
29089,inf
29090,0.166666667
29091,0.044776119
29092,0.181818182
29093,1
29094,0
29095,1
29096,1.333333333
29097,0.413793103
29098,0.5
29099,0
29100,0
29101,0.833333333
29102,
29103,0
29104,0.333333333
29105,0.5
29106,0
29107,3
29108,0
29109,0.5
29110,5
29111,0
29112,
29113,0
29114,0
29115,0
29116,8
29117,0.75
29118,0
29119,0
29120,
29121,0.142857143
29122,0
29123,inf
29124,0
29125,0
29126,0
29127,0.25
29128,0.027777778
29129,0
29130,0
29131,0
29132,0
29133,3
29134,0.25
29135,0
29136,5
29137,0
29138,0.166666667
29139,0
29140,0
29141,inf
29142,
29143,0
29144,0
29145,0
29146,0.076923077
29147,2
29148,0
29149,0.333333333
29150,0
29151,inf
29152,0
29153,
29154,0
29155,0
29156,0
29157,0
29158,0
29159,0
29160,0
29161,0.142857143
29162,7
29163,0
29164,0
29165,0
29166,0
29167,0
29168,0.142857143
29169,0
29170,0
29171,0
29172,0
29173,0
29174,1
29175,0
29176,0
29177,0.142857143
29178,0
29179,0
29180,0.2
29181,0
29182,0.428571429
29183,0
29184,0
29185,0
29186,
29187,1
29188,1
29189,2.6
29190,0
29191,0
29192,1.333333333
29193,0.3
29194,0
29195,0
29196,0
29197,0
29198,
29199,0
29200,2
29201,11
29202,0.037037037
29203,0
29204,0
29205,0
29206,0
29207,0.192307692
29208,2
29209,0
29210,0.333333333
29211,0
29212,0
29213,0
29214,0
29215,0.142857143
29216,0
29217,0
29218,0
29219,0.111111111
29220,0
29221,2.090909091
29222,0.166666667
29223,0.5
29224,
29225,0
29226,0.074074074
29227,
29228,0
29229,0
29230,inf
29231,0
29232,0
29233,0.166666667
29234,0
29235,0.166666667
29236,0
29237,1
29238,
29239,0
29240,3
29241,0
29242,0
29243,0
29244,inf
29245,0
29246,0
29247,0.6
29248,0
29249,0
29250,0
29251,0
29252,0.25
29253,0
29254,
29255,0.5
29256,0
29257,0
29258,0.625
29259,0
29260,1
29261,1
29262,0
29263,0
29264,0
29265,0.038461538
29266,0
29267,0.5
29268,0
29269,0.466666667
29270,0
29271,0
29272,0
29273,0
29274,0
29275,0
29276,0
29277,0
29278,
29279,0
29280,0
29281,0
29282,2.333333333
29283,0
29284,0.071428571
29285,0
29286,0.0625
29287,0
29288,0
29289,0
29290,0
29291,inf
29292,0
29293,0
29294,0
29295,0
29296,0
29297,0.5
29298,inf
29299,0
29300,0.666666667
29301,0
29302,0
29303,0
29304,1.5
29305,0
29306,0
29307,0
29308,0.8
29309,0.142857143
29310,0
29311,
29312,0
29313,0
29314,0.176470588
29315,
29316,0.2
29317,0
29318,0
29319,0
29320,10
29321,0
29322,0.5
29323,0
29324,
29325,0
29326,0.6
29327,0.25
29328,1
29329,0.428571429
29330,0
29331,0
29332,0
29333,0
29334,0.25
29335,4
29336,0
29337,0
29338,1.333333333
29339,0.75
29340,0
29341,
29342,0
29343,0
29344,0
29345,0
29346,0.333333333
29347,inf
29348,0
29349,0.142857143
29350,0
29351,0.285714286
29352,0.75
29353,1.461538462
29354,0.153846154
29355,0
29356,0
29357,0
29358,
29359,0
29360,0
29361,0.571428571
29362,
29363,0.333333333
29364,0
29365,0
29366,0
29367,0.5
29368,0
29369,
29370,3
29371,0
29372,0
29373,0
29374,0
29375,0
29376,12
29377,
29378,
29379,0.25
29380,0.6
29381,0
29382,0
29383,1.777777778
29384,0
29385,
29386,0
29387,0.227272727
29388,0
29389,0
29390,0
29391,0.444444444
29392,4
29393,0
29394,0
29395,0
29396,0
29397,0
29398,0
29399,0
29400,0
29401,0
29402,0.12
29403,0
29404,
29405,0
29406,0
29407,0
29408,0
29409,0
29410,inf
29411,0
29412,0
29413,0
29414,0.210526316
29415,0
29416,0
29417,0.076923077
29418,0.04
29419,2.666666667
29420,0
29421,0
29422,0
29423,0
29424,0
29425,inf
29426,0
29427,0.8
29428,0
29429,0
29430,0
29431,0.181818182
29432,0
29433,
29434,0.125
29435,0
29436,0.666666667
29437,0.2
29438,0.022222222
29439,0.071428571
29440,
29441,1.666666667
29442,0.126315789
29443,0.148148148
29444,0
29445,0
29446,0
29447,0
29448,0.5
29449,0
29450,0.272727273
29451,0
29452,0.033333333
29453,0
29454,0
29455,0
29456,inf
29457,0
29458,0
29459,0
29460,0
29461,0
29462,0
29463,2.142857143
29464,0
29465,0
29466,0.142857143
29467,0
29468,0
29469,0
29470,0.75
29471,0.5
29472,0.8
29473,0.666666667
29474,0.833333333
29475,0
29476,0
29477,0
29478,0
29479,0.3
29480,0
29481,0
29482,0.4
29483,1.333333333
29484,0.75
29485,0.5
29486,0
29487,0
29488,0
29489,0
29490,
29491,2.5
29492,0.25
29493,
29494,0.285714286
29495,0
29496,0
29497,0
29498,0
29499,0
29500,0
29501,0
29502,0
29503,0.5
29504,1.166666667
29505,16
29506,0
29507,0
29508,0
29509,0.5
29510,
29511,0
29512,0.192307692
29513,0
29514,0
29515,0
29516,0
29517,0
29518,inf
29519,0.12
29520,0
29521,
29522,0.333333333
29523,0
29524,0
29525,0.333333333
29526,0
29527,4.333333333
29528,0
29529,0
29530,0
29531,
29532,
29533,0
29534,0
29535,5
29536,0
29537,0
29538,5.5
29539,0
29540,0
29541,0
29542,0.833333333
29543,0
29544,0
29545,2
29546,0.041666667
29547,0
29548,0.642857143
29549,1.375
29550,0
29551,0
29552,0
29553,0
29554,0
29555,0
29556,1
29557,28
29558,0
29559,0
29560,0
29561,0
29562,0
29563,0
29564,0
29565,0.4
29566,0
29567,0.333333333
29568,0
29569,0.4
29570,0
29571,2.5
29572,0
29573,0
29574,
29575,
29576,0
29577,0.5
29578,0
29579,0
29580,0
29581,0
29582,inf
29583,1
29584,0.5
29585,
29586,0.666666667
29587,0.333333333
29588,0
29589,2
29590,0.666666667
29591,0.166666667
29592,0
29593,0
29594,inf
29595,1
29596,0.153846154
29597,0.057142857
29598,0
29599,0.25
29600,0.2
29601,0.428571429
29602,2.666666667
29603,0
29604,0
29605,5
29606,0.333333333
29607,0.25
29608,0.153846154
29609,0
29610,0
29611,0
29612,0
29613,inf
29614,0
29615,0
29616,0
29617,0
29618,0
29619,0.333333333
29620,8
29621,0.157894737
29622,0
29623,0
29624,
29625,0
29626,0
29627,0
29628,0
29629,0.25
29630,0
29631,0
29632,0.666666667
29633,0.538461538
29634,0.272727273
29635,0
29636,inf
29637,0
29638,0
29639,0
29640,0
29641,0
29642,0
29643,37
29644,1
29645,0
29646,6
29647,5
29648,0
29649,0
29650,0
29651,0.666666667
29652,0
29653,
29654,0.117647059
29655,0
29656,0
29657,0
29658,
29659,0
29660,0
29661,0
29662,0
29663,0.285714286
29664,0
29665,1.5
29666,0.666666667
29667,0
29668,0.25
29669,0.088235294
29670,0
29671,0
29672,0.166666667
29673,1
29674,0
29675,0
29676,0
29677,0.142857143
29678,0
29679,0.153846154
29680,0
29681,0
29682,0
29683,0
29684,0
29685,0
29686,0.2
29687,0
29688,0
29689,0
29690,
29691,0
29692,
29693,0
29694,0
29695,0
29696,0.034482759
29697,0
29698,0
29699,0
29700,2
29701,0
29702,0
29703,0
29704,0
29705,0.068181818
29706,0
29707,inf
29708,0
29709,0.2
29710,0
29711,0
29712,0
29713,0.5
29714,0
29715,0
29716,0.1
29717,0
29718,0
29719,0
29720,0.333333333
29721,
29722,0.666666667
29723,0.142857143
29724,0
29725,0
29726,
29727,0
29728,0
29729,0.052631579
29730,0.5
29731,
29732,1
29733,0
29734,0
29735,0
29736,0.111111111
29737,
29738,0
29739,0.285714286
29740,
29741,inf
29742,2
29743,0
29744,0.090909091
29745,0.1
29746,0
29747,0
29748,0
29749,6.6
29750,0
29751,0
29752,0
29753,0.333333333
29754,0.047619048
29755,0
29756,0
29757,1
29758,0.04
29759,0
29760,0
29761,1.75
29762,0
29763,0
29764,2.5
29765,0
29766,0
29767,0
29768,0
29769,
29770,inf
29771,0
29772,0
29773,0.142857143
29774,0
29775,0
29776,0.272727273
29777,9
29778,0.833333333
29779,1.4
29780,23
29781,0
29782,0
29783,0
29784,0.333333333
29785,1
29786,2.5
29787,0
29788,inf
29789,2
29790,1.5
29791,0
29792,0
29793,0
29794,0.333333333
29795,0
29796,0.2
29797,inf
29798,inf
29799,0
29800,0
29801,2
29802,0
29803,
29804,0
29805,0.6
29806,0
29807,0
29808,0
29809,0.075
29810,0
29811,0
29812,
29813,
29814,
29815,0
29816,0.333333333
29817,0
29818,0
29819,1
29820,0
29821,0.307692308
29822,0.5
29823,0
29824,0
29825,0
29826,0
29827,0
29828,0
29829,0
29830,0
29831,0
29832,0
29833,0
29834,5
29835,0
29836,0
29837,38.5
29838,0
29839,0.611111111
29840,0
29841,0.166666667
29842,0
29843,0
29844,1
29845,0
29846,0.5
29847,0
29848,0
29849,0
29850,0
29851,2
29852,0
29853,0.166666667
29854,0
29855,3.25
29856,0.333333333
29857,0
29858,0.047619048
29859,0
29860,0.333333333
29861,0
29862,
29863,0
29864,0
29865,0.153846154
29866,0
29867,0
29868,
29869,0.666666667
29870,1.333333333
29871,
29872,0
29873,
29874,
29875,0
29876,0
29877,0
29878,0
29879,0
29880,0
29881,3.181818182
29882,0
29883,0
29884,0
29885,0
29886,0
29887,0
29888,1
29889,0.666666667
29890,0
29891,0
29892,
29893,0
29894,0
29895,0
29896,0.333333333
29897,0
29898,0
29899,1.166666667
29900,0.090909091
29901,0
29902,3
29903,1.875
29904,0
29905,0
29906,0.4
29907,0
29908,0
29909,0.142857143
29910,2.666666667
29911,0
29912,0
29913,0.136363636
29914,0
29915,1.285714286
29916,0
29917,inf
29918,0.222222222
29919,0
29920,0.071428571
29921,0
29922,0
29923,inf
29924,0.857142857
29925,
29926,0
29927,5
29928,0
29929,0.578947368
29930,0
29931,0
29932,0.142857143
29933,0
29934,0
29935,0
29936,0
29937,0
29938,0
29939,0
29940,0
29941,
29942,0
29943,0
29944,0
29945,0
29946,0
29947,0.777777778
29948,1
29949,0
29950,0
29951,0
29952,0.294117647
29953,
29954,inf
29955,0.142857143
29956,0.117647059
29957,0
29958,inf
29959,1.375
29960,0
29961,0.666666667
29962,0.333333333
29963,1.2
29964,0.2
29965,0
29966,0.363636364
29967,0
29968,0
29969,
29970,0
29971,0.071428571
29972,0
29973,7
29974,0
29975,inf
29976,0
29977,0
29978,0
29979,1.5
29980,0
29981,0
29982,1
29983,0
29984,0
29985,
29986,2.75
29987,0
29988,0
29989,1
29990,inf
29991,0
29992,0
29993,0
29994,0
29995,0
29996,0
29997,0
29998,0.090909091
29999,0
30000,1.285714286
30001,4
30002,0
30003,0
30004,0
30005,0
30006,0
30007,0
30008,
30009,0
30010,0
30011,0
30012,0
30013,0
30014,0
30015,0.5
30016,2.666666667
30017,0.25
30018,0
30019,0.039215686
30020,inf
30021,0
30022,0
30023,0
30024,0.019230769
30025,0
30026,6
30027,0
30028,0
30029,inf
30030,0
30031,0
30032,0.25
30033,0
30034,0
30035,0
30036,0
30037,0.083333333
30038,1.5
30039,1
30040,0
30041,0
30042,0
30043,0.371428571
30044,0.142857143
30045,
30046,0.2
30047,0
30048,0
30049,
30050,
30051,
30052,0
30053,inf
30054,0
30055,0.333333333
30056,0
30057,0
30058,1
30059,0
30060,0
30061,0
30062,0.333333333
30063,0
30064,0.033333333
30065,0.4
30066,0.75
30067,0
30068,0.166666667
30069,inf
30070,0
30071,0
30072,0
30073,0.3
30074,1
30075,2
30076,0
30077,0.666666667
30078,
30079,0
30080,0
30081,
30082,0.8
30083,
30084,0
30085,1
30086,0.068965517
30087,0
30088,0
30089,0
30090,0
30091,0.055555556
30092,0.5
30093,0
30094,0
30095,0
30096,1.222222222
30097,0
30098,0.266666667
30099,0.666666667
30100,0
30101,0
30102,0.333333333
30103,1.142857143
30104,0
30105,0.5
30106,0
30107,0
30108,57
30109,0
30110,0
30111,0.166666667
30112,6
30113,0.4
30114,0.166666667
30115,0.090909091
30116,0.2
30117,0
30118,0.083333333
30119,0
30120,0
30121,
30122,1
30123,0
30124,0
30125,1.75
30126,
30127,0
30128,0.333333333
30129,0
30130,0
30131,0
30132,3
30133,0
30134,0
30135,inf
30136,2
30137,2.5
30138,1
30139,0.2
30140,0.444444444
30141,0.166666667
30142,0.5
30143,2
30144,0
30145,0.2
30146,0
30147,0
30148,0
30149,
30150,0
30151,0
30152,0
30153,0
30154,
30155,0
30156,0.08
30157,0
30158,0.19047619
30159,0.25
30160,0.0625
30161,
30162,0
30163,0
30164,0
30165,0
30166,0.166666667
30167,0.052631579
30168,0
30169,0.75
30170,0
30171,0.142857143
30172,0.037037037
30173,0.090909091
30174,0
30175,0.724137931
30176,
30177,0
30178,0.75
30179,0
30180,0.181818182
30181,0
30182,0
30183,0
30184,0.714285714
30185,0
30186,0
30187,0
30188,0
30189,0
30190,0
30191,0
30192,0
30193,0
30194,0
30195,0.25
30196,0.333333333
30197,0
30198,0
30199,0.666666667
